's	?:ин
albania	?:Албания
albanian	?:албанский
albanisation	?:албаниза́ция
albanologist	?:албаноло́г
albanology	?:албанове́дение
albany	?:О́лбани
albatross	?:альбатрос
albedo	?:альбедо
albeit	?:хотя́
albert	?:Альберт
alberta	?:Альберта
albin	?:Альби́н
albina	?:Альби́на
albinism	?:альбини́зм
albino	?:альбино́с
albion	?:Альбио́н
albireo	?:Альбире́о
albizia	?:альби́ция
alborz	?:Эльбурс
album	?:альбом
albumen	?:бело́к
albumin	?:альбумин
albuquerque	?:Альбуке́рке
alcazar	?:алькаса́р
alchemical	?:алхимический
alchemist	?:алхимик
alchemy	?:алхимия
alchevsk	?:Алче́вск
alcibiades	?:Алкивиад
alcmene	?:Алкме́на
alco-	?:алко-
alcogel	?:алкоге́ль
alcohol	?:спирт
alcohol-free	?:безалкого́льный
alcoholic	?:алкоголик
alcoholism	?:алкоголизм
alcoholysis	?:алкоголиз
alcopop	?:отвёртка
alcove	?:альков
alcyone	?:Альцио́на
aldebaran	?:Альдебара́н
aldehyde	?:альдегид
alder	?:ольха
alderfly	?:вислокры́лка
ale	?:эль
alec	?:А́лек
alecto	?:Алекто́
alectryon	?:Алектио́н
aleister	?:А́листер
alejandro	?:Алеха́ндро
alemannic	?:алема́ннский
alembic	?:дистилля́тор
aleocharine	?:алеохари́на
aleph	?:а́леф
aleppine	?:але́ппский
aleppo	?:Алеппо
alert	?:бди́тельный
aleut	?:алеу́тский
aleutian	?:алеу́тский
alewife	?:сероспинка
alexander	?:Александр
alexandra	?:Александра
alexandretta	?:Александре́тта
alexandria	?:Александрия
alexandrian	?:Александри́йский
alexandrianism	?:александрианизм
alexandrina	?:Александри́на
alexandrine	?:александрийский стих
alexandrite	?:александри́т
alexandropol	?:Александро́поль
alexandroupoli	?:Александру́полис
alexandrovsk-sakhalinsky	?:Алекса́ндровск-Сахали́нский
alexithymia	?:алекситими́я
alexius	?:Алексе́й
alfalfa	?:люцерна
alfonso	?:Альфонс
alfred	?:А́лфред
alfvén	?:Альфве́н
alga	?:водоросль
algebra	?:алгебра
algebraic	?:алгебраический
algeria	?:Алжир
algerian	?:алжирский
algherese	?:альге́рский
alghero	?:Алге́р
algid	?:ледяно́й
algiers	?:Алжир
algol	?:Алго́ль
algolagnia	?:алголагни́я
algonquian	?:алгонки́нский
algonquin	?:алгонки́н
algorithm	?:алгоритм
algorithmic	?:алгоритми́ческий
algorithmization	?:алгоритмизация
alhamdulillah	?:альхамдулилла́х
ali	?:Али́
alias	?:кли́чка
alibi	?:алиби
alice	?:Али́са
alidade	?:алида́да
alien	?:посторонний
alienate	?:отчуди́ть
alienation	?:отчужде́ние
alienist	?:алиени́ст
alif	?:а́лиф
alight	?:светя́щийся
align	?:вы́ровнять
alignment	?:альянс
alike	?:одина́ковый
alim	?:али́м
alimentary	?:пищевой
alimony	?:алименты
aliona	?:Алёна
aliphatic	?:алифати́ческий
alistair	?:А́листер
alive	?:живо́й
aliyah	?:алия́
aliyev	?:Али́ев
alkali	?:щёлочь
alkaline	?:щелочной
alkaloid	?:алкалоид
alkaloidal	?:алкалоидный
alkane	?:алка́н
alkanet	?:алка́нна
alkene	?:алке́н
alkie	?:алкаш
alkyl	?:алки́л
alkyne	?:алки́н
all	?:всё
all-	?:все-
all-day	?:целодне́вный
all-encompassing	?:всеобъе́млющий
all-inclusive	?:всеобъе́млющий
all-night	?:все́нощный
all-or-nothing	?:пан или пропал
all-powerful	?:всемогу́щий
all-rounder	?:на все ру́ки
all-seeing	?:всеви́дящий
allah	?:Аллах
allahabad	?:Аллахаба́д
allantois	?:алланто́ис
allat	?:Алла́т
allative	?:аллати́в
allegation	?:обвине́ние
allege	?:ссыла́ться
alleged	?:утвержда́емый
allegedly	?:я́кобы
allegiance	?:ве́рность
allegorical	?:аллегори́ческий
allegorically	?:аллегори́чески
allegory	?:аллегория
allegretto	?:аллегре́тто
allegro	?:аллегро
allele	?:алле́ль
allelopathic	?:аллелопатический
allelopathy	?:аллелопатия
alleluia	?:аллилу́йя
allemande	?:аллема́нда
allene	?:алле́н
allergen	?:аллерген
allergenic	?:аллергенный
allergic	?:аллергический
allergologist	?:аллерго́лог
allergology	?:аллергология
allergy	?:аллергия
alleviate	?:облегча́ть
alleviation	?:облегче́ние
alley	?:але́йка
allheal	?:черноголо́вка обыкнове́нная
alliance	?:альянс
allied	?:сою́знический
allier	?:Алье
allies	?:союзник
alligator	?:аллигатор
alliteration	?:аллитера́ция
allocate	?:вы́делить
allocation	?:распределе́ние
allodium	?:алло́д
allodynia	?:аллодиния
allograph	?:аллогра́ф
allomorph	?:алломо́рф
allomother	?:[[са́мка]]-[[помо́щница]]
allonge	?:алло́нж
allopathic	?:аллопатический
allopathy	?:аллопатия
allophone	?:аллофо́н
allot	?:распредели́ть
allotrope	?:аллотро́пия
allotropic	?:аллотро́пный
allotropy	?:аллотро́пия
allotype	?:аллотип
allow	?:позволя́ть
allowance	?:призна́ние
allowed	?:дозво́ленный
alloy	?:сплав
allspice	?:гвозди́чный пе́рец
allude	?:подразумевать
allure	?:шарм
alluring	?:зама́нчивый
allusion	?:намёк
alluvial	?:аллювиа́льный
alluvium	?:аллю́вий
ally	?:сою́зник
alma-ata	?:Алма́-Ата́
almanac	?:альманах
almandine	?:альманди́н
almaty	?:Алма-Ата́
almazna	?:Алма́зная
almere	?:Алме́ре
almería	?:Альмерия
almetyevsk	?:Альметьевск
almighty	?:всемогущий
almond	?:миндаль
almond-shaped	?:миндалеви́дный
almoravid	?:альмора́вид
almost	?:словно
alms	?:милостыня
alocasia	?:алока́зия
aloe	?:алоэ
aloft	?:высоко
alone	?:сам
along	?:по
alongside	?:вместе с
aloof	?:сторона
aloofness	?:за́мкнутость
alopecia	?:алопе́ция
aloud	?:гро́мко
aloysius	?:Алоиз
alpaca	?:альпака
alpenglow	?:альпи́йское сия́ние
alpha	?:альфа
alphabet	?:азбука
alphabetical	?:алфавитный
alphabetically	?:в алфави́тном поря́дке
alphanumeric	?:бу́квенно-цифрово́й
alphavirus	?:альфави́рус
alpheus	?:Алфе́й
alphorn	?:альпи́йский рог
alpine	?:альпи́йский
alprazolam	?:алпразола́м
alps	?:Альпы
already	?:уже
als	?:БАС
alsace	?:Эльзас
alsace-lorraine	?:Эльза́с-Лотари́нгия
alsatian	?:эльза́сский
also	?:то́же
alstroemeria	?:альстрёмерия
alt-girl	?:альтушка
alt-right	?:альтернативные правые
altai	?:Алта́й
altaic	?:алта́йский
altair	?:Альтаи́р
altar	?:алтарь
altarpiece	?:алта́рная карти́на
altay	?:Алта́й
alter	?:изменя́ть
alteration	?:измене́ние
altercate	?:препира́ться
altercation	?:спор
altered	?:изменённый
alternanthera	?:альтернанте́ра
alternately	?:поочерёдно
alternating	?:переме́нный
alternation	?:сме́на
alternative	?:альтернатива
although	?:хоть
altimeter	?:альтиме́тр
altitude	?:высота
alto	?:альт
altocumulus	?:высоко-кучева́я
altogether	?:совсем
altostratus	?:высоко-слои́стая
altruism	?:альтруизм
altruist	?:альтруи́ст
altruistic	?:альтруисти́ческий
altruistically	?:альтруисти́чески
alubukhara	?:альбухара
alum	?:квасцы
alumina	?:глинозём
aluminic	?:алюминиевый
aluminium	?:алюминий
alumna	?:студентка
alumnus	?:студе́нт
alunite	?:алуни́т
alupka	?:Алу́пка
alushta	?:Алу́шта
alveolar	?:альвеоля́рный
alveolus	?:альвеола
alvin	?:Элвин
alviri-vidari	?:алвири́-видари́
alvíssmál	?:А́львис
always	?:всегда
alyona	?:Алёна
alyssum	?:бурачо́к
alytus	?:Али́тус
amadou	?:трут
amain	?:на полной скорости
amalaka	?:амалака
amalgam	?:амальгама
amalgamated	?:объединённый
amanda	?:Ама́нда
amanita	?:мухомор
amapá	?:Амапа́
amaranth	?:амара́нт
amaretto	?:амаретто
amaryllis	?:амари́ллис
amass	?:копи́ть
amaterasu	?:Аматэрасу
amateur	?:любитель
amateurish	?:люби́тельский
amateurism	?:люби́тельство
amative	?:влю́бчивый
amatriciana	?:аматрициана
amaze	?:изуми́ть
amazement	?:изумле́ние
amazing	?:восхити́тельный
amazingly	?:изуми́тельно
amazon	?:Амазонка
amazonas	?:Амазо́нас
amazonian	?:амазо́нский
amazonite	?:амазони́т
amba	?:Амба
amban	?:амба́н
ambassador	?:посол
ambazonia	?:Амбазо́ния
amber	?:янтарь
ambergris	?:амбра
ambiance	?:атмосфе́ра
ambidextrous	?:Having equal or
ambient	?:окружа́ющий
ambigram	?:амбигра́мма
ambiguity	?:двусмы́сленность
ambiguous	?:противоречивый
ambiguously	?:неопределённо
ambika	?:Амбика
ambipolar	?:амбиполя́рный
ambition	?:цель
ambitious	?:амбицио́зный
ambivalence	?:амбивале́нтность
ambivalent	?:противоречи́вый
amble	?:и́ноходь
amblyopia	?:амблиопи́я
ambo	?:амво́н
ambrose	?:Амвросий
ambrosia	?:амброзия
ambrosin	?:амбрози́но
ambroxol	?:амброксо́л
ambulance	?:каре́та
ambulate	?:передвига́ться
ambulatory	?:ходить
ambuscade	?:из
ambush	?:заса́да
ame-no-uzume	?:А̀мэ-но-Удзумэ́
amelia	?:Аме́лия
ameliorate	?:улу́чшить
amen	?:аминь
amenable	?:покладистый
amend	?:исправля́ть
amendable	?:исправи́мый
amendment	?:измене́ние
amends	?:компенса́ция
amenity	?:мя́гкость
amenorrhoea	?:аменоре́я
amentia	?:аме́нция
american	?:американский
americanisation	?:американиза́ция
americanism	?:американи́зм
americanize	?:американизи́ровать
americano	?:америка́но
americas	?:Аме́рика
americium	?:амери́ций
americophilia	?:америкома́ния
americophobia	?:америкофо́бия
amethyst	?:аметист
amharic	?:амха́рский
amiable	?:доброду́шный
amicable	?:дружелю́бный
amicably	?:дру́жески
amice	?:амикт
amicrobial	?:амикро́бный
amid	?:ме́жду
amida	?:Амида
amide	?:ами́д
amiens	?:Амье́н
amigurumi	?:амигуру́ми
amina	?:Ами́на
aminogram	?:аминогра́мма
aminopyralid	?:аминопиралид
amiodarone	?:амиодаро́н
amir	?:Ами́р
amira	?:амира́
amirspasalar	?:амирспасала́р
amiss	?:нела́дно
